9.0,23.5,7.92,2,8.25,0
9.0,23.0,11.0,5,12,1
9.0,24,8.17,2.5,8.17,0
9.0,1.417,8.25,4,6.833,1
12.5,2.33,11.25,8,8.92,1
10.0,24.75,8.75,1,8,0
9.0,24.5,7.5,1,7,0
10.0,12.67,9,3,8.33,0
10.0,1.0,9,2,8,0
12.5,3.0,11.0,4,8.0,0
10.0,1.167,8.5,3,7.333,0
